doc_id,district_name,state,school_year,bargaining_unit,hold_reason,detail,source_url
575,East Coloma - Nelson CESD 20,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/0 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3442/ECNCESD/4938420/ECN_Middle_School_Science__Grades_6-8_.pdf
599,Venice CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=5 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2559/Vcusd/f5f635fa-1b74-445c-92b0-26da25909633/Teacher-Job-Posting-8th-Grade.pdf?disposition=inline
600,Paris-Union SD 95,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.paris95.k12.il.us/UserFiles/Servers/Server_8563937/File/Transportation/Driving%20Success%20Paris%20Union%20School%20District%2095%20December%202025.pdf
603,Proviso Twp HSD 209,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.pths209.org/fs/resource-manager/view/925cb944-6f7a-4e63-81e6-1a77924324fc
609,Streator ESD 44,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://www.ses44.net/UserFiles/Servers/Server_26740696/File/Appendix B Support Staff Wages.pdf
614,Willow Springs SD 108,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=2 -> not-CBA,https://asbointl.org/common/Uploaded%20files/Awards/MBA/2022-2023%20MBA%20Resources/Deerfield%20FY%2023%20FINAL%20BUDGET.pdf
615,ACE Amandla Charter School,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://chicagoworkforcefunders.org/wp-content/uploads/2025/08/Construction-Report-Jan-2021.pdf
628,Capital Area Career Center,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=3 -> not-CBA,https://worknet20.org/wp-content/uploads/2020/11/Local-Plan-2020.pdf
630,Centralia HSD 200,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/20 kw=3 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2100/Chs/46fa7af6-9cec-4e3f-b55b-2d23c3bde8e5/Board_Policy-2.260_Uniform_Grievance_Procedure.pdf?disposition=inline
657,Lewistown CUSD 97,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/0 kw=3 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3407/LCUSD/5707572/District_Sub_Caller.pdf
666,Mid-Valley Special Ed Coop,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=2/0 kw=6 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2649/Bsd/6f14021c-eb4b-4863-942e-a021a873c1d3/Benjamin-25-ASA-2025.pdf?disposition=inline
667,Nettle Creek CCSD 24C,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=2/4 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2306/ncccsd/3549885/Policy_5-200.pdf
672,Peotone CUSD 207U,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=7 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3767/Pcusd/6eb2deec-23d0-4bd9-a3d8-eb2fdf894ee8/Original_Budget_Presentation_FY26.pdf?disposition=inline
674,Philip J Rock Center and School,IL,,administrators,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=1 policy=0/0 kw=7 -> not-CBA,https://www.roe45.net/uploads/5/3/4/0/53402097/administrative_rules_combined_feb2021.pdf
689,Saratoga CCSD 60C,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=1 policy=0/0 kw=4 -> not-CBA,https://www.iml.org/cms/files/pages/Journal-of-Local-Government-publication-request.pdf
