doc_id,district_id,district_name,state,school_year,bargaining_unit,classification,detail,source_url
599,10986,Venice CUSD 3,IL,,teachers,not-CBA,title=1 body=0 agenda=0 policy=0/0 kw=5 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2559/Vcusd/f5f635fa-1b74-445c-92b0-26da25909633/Teacher-Job-Posting-8th-Grade.pdf?disposition=inline
600,10600,Paris-Union SD 95,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.paris95.k12.il.us/UserFiles/Servers/Server_8563937/File/Transportation/Driving%20Success%20Paris%20Union%20School%20District%2095%20December%202025.pdf
603,10492,Proviso Twp HSD 209,IL,,custodial_maintenance,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.pths209.org/fs/resource-manager/view/925cb944-6f7a-4e63-81e6-1a77924324fc
604,10675,Rooks Creek CCSD 425,IL,,transportation,needs-OCR,insufficient_text (0 chars),https://www.rookscreek.k12.il.us/fs/resource-manager/view/3fa22e78-a478-4e11-9855-58a797657d3b
605,11088,Shiloh Village SD 85,IL,,teachers,not-CBA,title=0 body=3 agenda=1 policy=0/29 kw=3 -> not-CBA policy_manual,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2874/Svsd/a3714f83-9cf4-4116-8ea8-de27cdfb0415/2025-2026_Substitute_Handbook.pdf?disposition=inline
609,10937,Streator ESD 44,IL,,support_staff,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://www.ses44.net/UserFiles/Servers/Server_26740696/File/Appendix B Support Staff Wages.pdf
614,11314,Willow Springs SD 108,IL,,teachers,not-CBA,title=0 body=2 agenda=0 policy=0/0 kw=2 -> not-CBA,https://asbointl.org/common/Uploaded%20files/Awards/MBA/2022-2023%20MBA%20Resources/Deerfield%20FY%2023%20FINAL%20BUDGET.pdf
615,11485,ACE Amandla Charter School,IL,,teachers,not-CBA,title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://chicagoworkforcefunders.org/wp-content/uploads/2025/08/Construction-Report-Jan-2021.pdf
618,11106,Belleville Area Special Services,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3284/BASSC/4780276/doc01503820240830135325.pdf
625,10726,CCSD 89,IL,,teachers,not-CBA,title=0 body=2 agenda=1 policy=0/15 kw=3 -> not-CBA policy_manual,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/5361/Ccsd/59d830f5-8000-4ae1-8500-b777c7ffd347/CCSD-89-202627-Student-Parent-Handbook.pdf?disposition=inline
628,11960,Capital Area Career Center,IL,,teachers,not-CBA,title=0 body=2 agenda=0 policy=0/0 kw=3 -> not-CBA,https://worknet20.org/wp-content/uploads/2020/11/Local-Plan-2020.pdf
630,10645,Centralia HSD 200,IL,,teachers,not-CBA,title=1 body=2 agenda=0 policy=0/20 kw=3 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2100/Chs/46fa7af6-9cec-4e3f-b55b-2d23c3bde8e5/Board_Policy-2.260_Uniform_Grievance_Procedure.pdf?disposition=inline
636,11137,Delavan CUSD 703,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1500051/july_20-103041.pdf
637,10951,Dimmick CCSD 175,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/5190/DCCSD/4973657/Collective_Bargaining_Agreement_2021-2026.pdf
642,16240,Exceptional Learners,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.d121.org/uploaded/Superintendent/9.24.24_commagenda.pdf
643,11358,Ford Heights SD 169,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.fordheights169.org/wp-content/uploads/2025/03/February-10-2025-Minutes-Finalized.pdf
651,10870,Iroquois Special Education,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/904/Pbl_Cusd_10/d7118612-f441-4836-829e-681ac90260d4/2025-2027-PBL-Collective-Bargaining-Agreement.pdf?disposition=inline
656,10500,Lemont-Bromberek CSD 113A,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.boarddocs.com/il/lbcsd/Board.nsf/files/AEPMSJ59A6FA/$file/PRESS%2092%205%20year%20review.pdf
657,10797,Lewistown CUSD 97,IL,,teachers,not-CBA,title=1 body=1 agenda=0 policy=0/0 kw=3 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3407/LCUSD/5707572/District_Sub_Caller.pdf
666,10862,Mid-Valley Special Ed Coop,IL,,teachers,not-CBA,title=1 body=1 agenda=0 policy=2/0 kw=6 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2649/Bsd/6f14021c-eb4b-4863-942e-a021a873c1d3/Benjamin-25-ASA-2025.pdf?disposition=inline
667,10777,Nettle Creek CCSD 24C,IL,,teachers,not-CBA,title=1 body=1 agenda=0 policy=2/4 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2306/ncccsd/3549885/Policy_5-200.pdf
669,10601,Paris Cooperative High School,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/552789/PACT_Contract_2019-2022.pdf
672,11179,Peotone CUSD 207U,IL,,teachers,not-CBA,title=1 body=0 agenda=0 policy=0/0 kw=7 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3767/Pcusd/6eb2deec-23d0-4bd9-a3d8-eb2fdf894ee8/Original_Budget_Presentation_FY26.pdf?disposition=inline
674,15077,Philip J Rock Center and School,IL,,administrators,not-CBA,title=0 body=3 agenda=1 policy=0/0 kw=7 -> not-CBA,https://www.roe45.net/uploads/5/3/4/0/53402097/administrative_rules_combined_feb2021.pdf
683,10472,River Forest SD 90,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://www.district90.org/boe/files/documents/2BoardPacket11-17-14.pdf
689,10779,Saratoga CCSD 60C,IL,,teachers,not-CBA,title=0 body=2 agenda=1 policy=0/0 kw=4 -> not-CBA,https://www.iml.org/cms/files/pages/Journal-of-Local-Government-publication-request.pdf
692,10604,Shelbyville CUSD 4,IL,,teachers,not-CBA,title=1 body=0 agenda=0 policy=0/2 kw=4 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/180/District/4127677/5-190_Teacher_Qualifications.docx.pdf
697,11719,St Anne CHSD 302,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/1501/SAGSD/3822630/Substitute_Teacher_Packet.pdf
702,11158,Troy CCSD 30C,IL,,teachers,not-CBA,title=1 body=2 agenda=1 policy=1/7 kw=7 -> not-CBA,https://s3.amazonaws.com/media.guidebook.com/upload/14186/extra/Thurs_11-00am_Trans_IFBAC-Part_1.pdf
704,10594,Villa Grove CUSD 302,IL,,teachers,needs-OCR,insufficient_text (0 chars),https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1354046/Sections_5_through_8.pdf
705,10483,Western Springs SD 101,IL,,teachers,not-CBA,title=1 body=1 agenda=1 policy=1/6 kw=2 -> not-CBA,https://cdnsm5-ss14.sharpschool.com/UserFiles/Servers/Server_976073/File/Departments/Superintendent/FOIA/2021-22/may2022/may004-ABCSchoolBusCompany-FOIA.pdf
