RCDTS,NCES_ID,District,County,Website,Unit,PDF_Filename,PDF_Size_KB,Folder_Name
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,Local773_9mo_Contract_2024-2027.pdf,0.3,Elverado_CUSD_196
300391960,1713860,Elverado CUSD 196,Jackson,http://elv196.org,Unknown,test_minutes.pdf,0.2,Elverado_CUSD_196
340490330,1714250,Emmons SD 33,Lake,http://www.emmons33.org,CBA (Unit Unspecified),CBA_2025-2027.pdf,723.3,Emmons_SD_33
470980010,1714350,Erie CUSD 1,Whiteside,http://www.ecusd.info,CBA (Unit Unspecified),EEA_CBA_2025-2028.pdf,630.7,Erie_CUSD_1
470980010,1714350,Erie CUSD 1,Whiteside,http://www.ecusd.info,CBA (Unit Unspecified),ETA_CBA_2023-2026.pdf,1035.9,Erie_CUSD_1
470980010,1714350,Erie CUSD 1,Whiteside,http://www.ecusd.info,CBA (Unit Unspecified),ETA_CBA_2026-2029.pdf,498.2,Erie_CUSD_1
470712690,1714410,Eswood CCSD 269,Ogle,http://www.leeogle.org/,Unknown,2024-2025_Salary_Schedule.pdf,23.2,Eswood_CCSD_269
470712690,1714410,Eswood CCSD 269,Ogle,http://www.leeogle.org/,Unknown,Extras_Stipends_2021-2025.pdf,34.7,Eswood_CCSD_269
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Unknown,DEC_2019-2024_Contract.pdf,4112.4,Evanston_CCSD_65
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Unknown,DEC_Educators_Council_2024-2028.pdf,2890.9,Evanston_CCSD_65
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Unknown,EACCP_Child_Care_Professionals_2022-2027.pdf,1636.9,Evanston_CCSD_65
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Unknown,ECMA_Custodial_Maintenance_2021-2026.pdf,410.7,Evanston_CCSD_65
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Unknown,ESCA_Secretarial_Clerical_2022-2027.pdf,1477.3,Evanston_CCSD_65
050160650,1714460,Evanston CCSD 65,Cook,http://www.district65.net,Teachers,ETAA_Teacher_Assistants_2025-2029.pdf,965.6,Evanston_CCSD_65
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Custodial,Custodian-Maintenance_2022-2027.pdf,1657.9,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Unknown,Engineer_2023-2028.pdf,1048.3,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Unknown,FoodService_2022-2026.pdf,1473.0,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Unknown,Safety_2023-2028.pdf,1803.3,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Unknown,SEIU73_FoodService_2016-2021.pdf,2098.3,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Support Staff,SupportStaff_2022-2027.pdf,396.8,Evanston_Twp_HSD_202
050162020,1714490,Evanston Twp HSD 202,Cook,http://www.eths.k12.il.us,Teachers,TeachersCouncil_2022-2026.pdf,501.8,Evanston_Twp_HSD_202
070162310,1714580,Evergreen Park CHSD 231,Cook,,CBA (Unit Unspecified),EP231_EA_CBA_2021-2025.pdf,1348.4,Evergreen_Park_CHSD_231
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,CBA (Unit Unspecified),CBA_2022-2026.pdf,3676.2,Evergreen_Park_ESD_124
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,CBA (Unit Unspecified),CBA_2026-2030.pdf,2115.5,Evergreen_Park_ESD_124
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,Unknown,MOU_MediaPara_2023-2024.pdf,656.5,Evergreen_Park_ESD_124
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,Unknown,MOU_MediaPara_2024-2025.pdf,955.6,Evergreen_Park_ESD_124
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,Unknown,MOU_MediaPara_2025-2026.pdf,88.3,Evergreen_Park_ESD_124
070161240,1714550,Evergreen Park ESD 124,Cook,http://www.d124.org,Unknown,MOU_WorkDay_InstituteDay_2024-2025.pdf,75.1,Evergreen_Park_ESD_124
210281150,1714640,Ewing Northern CCSD 115,Franklin,http://ewinggradeschool.org,Teachers,Teacher_Contract_2026-29.pdf,4503.4,Ewing_Northern_CCSD_115
200962250,1726180,Fairfield Comm H S Dist 225,Wayne,http://www.fchsmules.com,Unknown,CONTRACT_2024-2027.pdf,313.6,Fairfield_Comm_H_S_Dist_225
200961120,1714710,Fairfield PSD 112,Wayne,http://www.fairfieldcolts.com,Unknown,FY23-25_Parapro_Contract.pdf,351.3,Fairfield_PSD_112
200961120,1714710,Fairfield PSD 112,Wayne,http://www.fairfieldcolts.com,Unknown,FY25-27_Certified_Contract.pdf,582.4,Fairfield_PSD_112
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_Agreement_2018-2022.pdf,2568.2,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_Compensation_2023-24_Salary_Schedule.pdf,21.6,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_Compensation_2024-2025_Salary_Schedule.pdf,21.7,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_MOU_2022-2024.pdf,121.4,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_Salary_Schedule_FY22.pdf,17.5,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Unknown,FTA_Salary_Schedule_FY23.pdf,16.7,Fairview_SD_72
050160720,1714820,Fairview SD 72,Cook,http://www.fairview72.com,Teachers,FTA_Teacher_Agreement_2024-2027.pdf,1241.1,Fairview_SD_72
480722650,1700044,Farmington Central CUSD 265,Peoria,http://www.dist265.com,Unknown,Negotiated_Agreement_FY26-FY28.pdf,3283.2,Farmington_Central_CUSD_265
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,CBA (Unit Unspecified),2023-2028_FEA_CBA.pdf,492.8,Fenton_CHSD_100
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,CBA (Unit Unspecified),2024-2027_SEIU_CBA.pdf,378.9,Fenton_CHSD_100
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,CBA (Unit Unspecified),2024-2028_FLOSS_CBA.pdf,1198.6,Fenton_CHSD_100
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,Unknown,FEA_Contract_2023-2028.pdf,492.8,Fenton_CHSD_100
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,Unknown,FLOSS_Contract_2024-2028.pdf,1198.6,Fenton_CHSD_100
190221000,1715030,Fenton CHSD 100,Dupage,http://www.fenton100.org,Unknown,SEIU_Contract_2024-2027.pdf,382.9,Fenton_CHSD_100
130410030,1715090,Field CCSD 3,Jefferson,http://www.fieldpanthers.com,Teachers,Field_Teachers_Contract_2026-2028.pdf,1001.8,Field_CCSD_3
090100010,1715180,Fisher CUSD 1,Champaign,http://district.fisherk12.com/district,Unknown,2023-2026_Salary_Schedules.pdf,1671.6,Fisher_CUSD_1
090100010,1715180,Fisher CUSD 1,Champaign,http://district.fisherk12.com/district,Unknown,Extra-Curricular_Stipends_23-26.pdf,412.3,Fisher_CUSD_1
170530740,1701390,Flanagan-Cornell Dist 74,Livingston,http://www.fc74.org,Unknown,FCEA_Master_Contract_2023-2025.pdf,229.0,Flanagan-Cornell_Dist_74
170530740,1701390,Flanagan-Cornell Dist 74,Livingston,http://www.fc74.org,Unknown,FCEA_Master_Contract_2025-2027.pdf,805.6,Flanagan-Cornell_Dist_74
120130350,1715400,Flora CUSD 35,Clay,http://floraschools.com,Teachers,Flora_CUSD35_and_FEA_IEA_NEA_Teachers.pdf,1949.5,Flora_CUSD_35
120130350,1715400,Flora CUSD 35,Clay,http://floraschools.com,Unknown,Flora_CUSD35_and_IBEW_Local702_2025-2028.pdf,230.7,Flora_CUSD_35
120130350,1715400,Flora CUSD 35,Clay,http://floraschools.com,Unknown,Salary_and_Benefits_Data_2025-2026.pdf,183.0,Flora_CUSD_35
070161610,1715420,Flossmoor SD 161,Cook,http://www.sd161.org,CBA (Unit Unspecified),CBA_Salary_Schedule.pdf,340.4,Flossmoor_SD_161
070161610,1715420,Flossmoor SD 161,Cook,http://www.sd161.org,Unknown,Final_Collective_Bargaining_Agreement.pdf,394.9,Flossmoor_SD_161
070161690,1710950,Ford Heights SD 169,Cook,,Unknown,Professional_Negotiations_Agreement_2020-2024.pdf,17182.5,Ford_Heights_SD_169
070161690,1710950,Ford Heights SD 169,Cook,,CBA (Unit Unspecified),SEIU73_CBA_2022-2025.pdf,10202.8,Ford_Heights_SD_169
070161690,1710950,Ford Heights SD 169,Cook,,CBA (Unit Unspecified),SEIU73_CBA_2022-2025_districtcopy.pdf,9721.3,Ford_Heights_SD_169
060160910,1715450,Forest Park SD 91,Cook,http://www.fpsd91.org,Unknown,2022-2026_FPEA_Agreement.pdf,382.2,Forest_Park_SD_91
070161420,1715480,Forest Ridge SD 142,Cook,http://www.d142.org,Unknown,FREA_2025-2028.pdf,2667.1,Forest_Ridge_SD_142
